date,category_name,amount,notes,user_id
2018-03-29,Dining Out,2,Pizza,6
2018-03-30,Misc Income,402.44,Wendy Income,6
2018-03-30,Tax Savings,100.61,Savings,6
2018-03-30,Taxes Witheld,96.95,Taxes Withheld,6
2018-03-30,Misc Income,100,Happy Easter from the Vet,6
2018-03-30,Household,16.13,Groceries,6
2018-03-30,Misc,15.49,Stuff for not having kids,6
2018-03-31,Dining Out,3.26,Chipotle w/giftcard,6
2018-03-31,Dining Out,9,Jen's Roti Shop w/Nancee,6
2018-04-01,Living Space,944,January Rent,6
2018-04-01,Misc,10.81,Apple Music,6
2018-04-01,Transportation,121,Unlimited Metro Pass,6
2018-04-01,Misc,10,Matt's Missionary Fund,6
2018-04-01,Entertainment,9.95,MoviePass,6
2018-04-02,Misc,4.25,Laundry,6
2018-04-03,Dining Out,2.5,Dumplings with Sharon + Nicole,6
2018-04-04,Misc,1,Guitar Player Union Square,6
2018-03-03,Misc,45,February Phone Bill,6
2018-04-04,Misc,45,March Phone Bill,6
2018-04-04,Gift Income,225,Dad's GST Gift,6
2018-04-04,Gift Expense,179.97,Dad Birthday Gift,6
2018-04-06,Studio Income,118.88,Equinox Check,6
2018-04-06,Tax Savings,29.72,Savings,6
2018-04-06,Taxes Witheld,13.4,Taxes Withheld,6
2018-04-06,Dining Out,8,Halal at home,6
2018-04-07,Household,22.95,Groceries,6
2018-04-08,Studio Income,129.144,Pilates Movement Income,6
2018-04-08,Tax Savings,32.286,Savings,6
2018-04-08,Taxes Witheld,14.57,Taxes Withheld,6
2018-04-08,Household,5,Ice Cream,6
2018-04-11,Dining Out,2.9,Bagel and Scone,6
2018-04-12,Misc Income,236.64,Core Income,6
2018-04-12,Tax Savings,59.16,Savings,6
2018-04-12,Taxes Witheld,27.45,Taxes Withheld,6
2018-04-12,Entertainment,20.99,Gotham Comedy Club Tickets,6
2018-04-12,Entertainment,28.05,Drinks at Gotham,6
2018-04-12,Entertainment,20,Hookah after Gotham,6
2018-04-12,Dining Out,5,Dumplings,6
2018-04-12,Dining Out,1,Pizza after Hookah after Gotham,6
2018-04-13,Misc Income,622.128,Wendy Income,6
2018-04-13,Tax Savings,155.532,Savings,6
2018-04-13,Taxes Witheld,203.94,Taxes Withheld,6
2018-04-13,Dining Out,3,Pizza,6
2018-04-14,Misc,4.75,Laundry,6
2018-04-14,Dining Out,7.25,Dumplings w/Nancee,6
2018-04-14,Dining Out,3,Lunch bagel and donut,6
2018-04-15,Dining Out,10.83,Pasta at Pilates Movement,6
2018-04-15,Household,14.55,Groceries,6
2018-04-17,Misc,20,Donation for dad's solar trip,6
2018-04-17,Misc,20,haircut,6
2018-04-17,Dining Out,2,Pizza,6
2018-04-20,Misc,1,Singer on train,6
2018-04-20,Household,13.59,Groceries,6
2018-04-20,Household,11.97,Floss,6
2018-04-20,Studio Income,46.96,Equinox Last Check,6
2018-04-20,Tax Savings,11.74,Savings,6
2018-04-20,Taxes Witheld,5.3,Taxes Withheld,6
2018-04-20,Misc Income,200,Wendy Parting Gift,6
2018-04-21,Misc,89,Stupid Fucking Credit Card Fee that I should have cancelled a long time ago,6
2018-04-22,Misc,6.25,Laundry,6
2018-04-22,Studio Income,185.312,PM Income,6
2018-04-22,Tax Savings,46.328,Savings,6
2018-04-22,Taxes Witheld,21.36,Taxes Withheld,6
2018-04-22,Household,10.77,Groceries,6
2018-04-24,Dining Out,2,Pizza,6
2018-04-26,Misc Income,172.472,Core Income,6
2018-04-26,Tax Savings,43.118,Savings,6
2018-04-26,Taxes Witheld,19.46,Taxes Withheld,6
2018-04-27,Misc Income,499.408,Wendy Income,6
2018-04-27,Tax Savings,124.852,Savings,6
2018-04-27,Taxes Witheld,140.74,Taxes Withheld,6
2018-04-28,Dining Out,2,Pizza,6
2018-04-28,Misc,4.25,Laundry,6
2018-04-29,Household,16.2,Groceries,6
2018-05-01,Living Space,944,January Rent,6
2018-05-01,Misc,10.81,Apple Music,6
2018-05-01,Transportation,121,Unlimited Metro Pass,6
2018-05-01,Misc,10,Matt's Missionary Fund,6
2018-05-01,Entertainment,9.95,MoviePass,6
2018-05-01,Misc,45,April Phone Bill,6
2018-05-11,Misc,24,LastPass subscription,6
2018-05-01,Household,8.96,Groceries,6
2018-05-01,Gift Expense,59.68,Coding headphones,6
2018-05-01,Misc,10,Brooke Pilatesology,6
2018-05-05,Misc,5,Laundry,6
2018-05-05,Dining Out,42.02,Dinner w/Nancee,6
2018-05-06,Misc,1,Singers on train,6
2018-05-06,Household,17.05,Groceries,6
2018-05-06,Studio Income,143.08,PM Income,6
2018-05-06,Tax Savings,35.77,Tax Savings,6
2018-05-06,Taxes Witheld,16.15,Taxes Withheld,6
2018-05-11,Dining Out,2,Pizza Friday Acces labs,6
2018-05-11,Misc,1,Show time,6
2018-05-12,Misc,4.5,Laundry,6
2018-05-12,Household,15.9,Groceries,6
2018-05-13,Household,8.58,Groceries,6
2018-05-15,Household,7.89,Vinegar and Ice Cream,6
2018-05-19,Misc,4.5,Laundry,6
2018-05-19,Household,36.3,Groceries,6
2018-05-19,Misc,16.92,New Bed Supplies,6
2018-05-20,Misc,2,Good dancer on train,6
2018-05-20,Studio Income,227.69,PM Income,6
2018-05-20,Tax Savings,56.92,Tax Savings,6
2018-05-20,Taxes Witheld,28.39,Taxes Withheld,6
2018-05-20,Gift Income,50,Grandma+Grandpa Random Gift,6
2018-05-26,Misc,4.5,Laundry,6
2018-05-23,EBT,14.27,EBT Snap purchases,6
2018-05-26,EBT,27.21,Snacks w/Nancee,6
2018-05-27,EBT,47.53,Groceries,6
2018-05-31,Dining Out,42,Last dinner w/Nancee,6
2018-06-01,Living Space,944,January Rent,6
2018-06-01,Misc,10.81,Apple Music,6
2018-06-01,Transportation,121,Unlimited Metro Pass,6
